id,lat,lon,tile,label,notes,row,col
manual_597351,16.6496269,-24.3960962,Sao_Nicolau_tile4.tif,Agricultural,Agricultural Certain,416,371
manual_386533,16.6479537,-24.3935386,Sao_Nicolau_tile4.tif,Non-Agricultural,Open Field / Tree,435,398
manual_999800,16.6458160,-24.4082950,Sao_Nicolau_tile4.tif,Non-Agricultural,Open Field / Tree,456,240
manual_403817,16.5827981,-24.3759186,Sao_Nicolau_tile7.tif,Non-Agricultural,Building / Man Made,219,82
manual_913357,16.6109877,-24.4184452,Sao_Nicolau_tile3.tif,Non-Agricultural,Open Field / Tree,374,133
manual_427694,16.6492584,-24.4294235,Sao_Nicolau_tile4.tif,Non-Agricultural,Water Bodies,414,15
manual_515537,16.5674449,-24.3763995,Sao_Nicolau_tile7.tif,Non-Agricultural,Water Bodies,389,74
manual_862227,16.5647908,-24.3563235,Sao_Nicolau_tile7.tif,Non-Agricultural,Building / Man Made,422,288
manual_969616,16.5761449,-24.3575500,Sao_Nicolau_tile7.tif,Non-Agricultural,Open Field / Tree,296,277
manual_861289,16.5865526,-24.2937947,Sao_Nicolau_tile12.tif,Non-Agricultural,Open Field / Tree,184,452
manual_365185,16.6308238,-24.2224492,Sao_Nicolau_tile23.tif,Non-Agricultural,Open Field / Tree,155,198
manual_667484,16.5571972,-24.0825854,Sao_Nicolau_tile36.tif,Non-Agricultural,Open Field / Tree,38,169
manual_85000,16.5616494,-24.0806903,Sao_Nicolau_tile37.tif,Non-Agricultural,Open Field / Tree,455,183
manual_151555,16.6151226,-24.1335135,Sao_Nicolau_tile33.tif,Non-Agricultural,Building / Man Made,328,129
manual_32434,16.6328771,-24.1947653,Sao_Nicolau_tile23.tif,Non-Agricultural,Open Field / Tree,137,494
manual_202633,16.6423662,-24.2291037,Sao_Nicolau_tile23.tif,Non-Agricultural,Open Field / Tree,26,129
manual_904176,16.6495298,-24.2154573,Sao_Nicolau_tile24.tif,Non-Agricultural,Water Bodies,415,268
manual_141590,16.5874320,-24.1852129,Sao_Nicolau_tile27.tif,Non-Agricultural,Water Bodies,168,87
manual_811883,16.6690673,-24.3160890,Sao_Nicolau_tile14.tif,Non-Agricultural,Water Bodies,197,213
manual_286374,16.6286153,-24.3671698,Sao_Nicolau_tile8.tif,Non-Agricultural,Building / Man Made,179,176
manual_384987,16.6180613,-24.2935830,Sao_Nicolau_tile13.tif,Non-Agricultural,Building / Man Made,301,452
manual_395364,16.6314391,-24.3151601,Sao_Nicolau_tile13.tif,Non-Agricultural,Open Field / Tree,149,224
manual_910628,16.6339986,-24.2330837,Sao_Nicolau_tile23.tif,Non-Agricultural,Open Field / Tree,118,85
manual_495429,16.6014520,-24.1893764,Sao_Nicolau_tile27.tif,Non-Agricultural,Open Field / Tree,12,45
manual_177073,16.6158503,-24.1331507,Sao_Nicolau_tile33.tif,Non-Agricultural,Open Field / Tree,320,133
manual_859901,16.6103840,-24.3278118,Sao_Nicolau_tile13.tif,Non-Agricultural,Open Field / Tree,380,85
manual_948340,16.5684247,-24.3548889,Sao_Nicolau_tile7.tif,Agricultural,Agricultural Certain,382,304
manual_271080,16.6043348,-24.3391290,Sao_Nicolau_tile8.tif,Agricultural,Agricultural Certain,453,471
manual_264496,16.6077905,-24.3206519,Sao_Nicolau_tile13.tif,Agricultural,Agricultural Doubtful,410,161
manual_462749,16.6492584,-24.3016076,Sao_Nicolau_tile14.tif,Agricultural,Agricultural Certain,419,364
manual_547079,16.6469224,-24.3009121,Sao_Nicolau_tile14.tif,Agricultural,Agricultural Certain,445,371
manual_297066,16.6469179,-24.3011929,Sao_Nicolau_tile14.tif,Agricultural,Agricultural Certain,445,368
manual_356332,16.6410038,-24.2927577,Sao_Nicolau_tile13.tif,Agricultural,Agricultural Certain,47,465
manual_551998,16.6420010,-24.2924938,Sao_Nicolau_tile13.tif,Agricultural,Agricultural Certain,36,468
manual_894240,16.6411045,-24.2921039,Sao_Nicolau_tile13.tif,Agricultural,Agricultural Certain,46,472
manual_272899,16.6350682,-24.2913453,Sao_Nicolau_tile13.tif,Agricultural,Agricultural Certain,113,479
manual_408397,16.6347930,-24.2916215,Sao_Nicolau_tile13.tif,Agricultural,Agricultural Certain,116,476
manual_432188,16.5877023,-24.2896016,Sao_Nicolau_tile12.tif,Agricultural,Agricultural Certain,172,497
manual_319289,16.6465588,-24.3236606,Sao_Nicolau_tile14.tif,Agricultural,Agricultural Certain,445,128
manual_266493,16.6472944,-24.3952124,Sao_Nicolau_tile4.tif,Agricultural,Agricultural Certain,442,380
manual_206878,16.6491787,-24.3959011,Sao_Nicolau_tile4.tif,Agricultural,Agricultural Certain,421,373
manual_549600,16.6491023,-24.3950570,Sao_Nicolau_tile4.tif,Agricultural,Agricultural Certain,422,382
manual_339557,16.6148650,-24.3015804,Sao_Nicolau_tile13.tif,Agricultural,Agricultural Certain,335,366
manual_531473,16.6059830,-24.2867297,Sao_Nicolau_tile18.tif,Agricultural,Agricultural Certain,427,15
manual_479114,16.6065141,-24.2873941,Sao_Nicolau_tile13.tif,Agricultural,Agricultural Certain,430,516
manual_745494,16.6016657,-24.3197976,Sao_Nicolau_tile12.tif,Agricultural,Agricultural Certain,12,177
manual_657565,16.6044967,-24.3234039,Sao_Nicolau_tile13.tif,Agricultural,Agricultural Certain,446,131
manual_448309,16.5972965,-24.3220630,Sao_Nicolau_tile12.tif,Agricultural,Agricultural Doubtful,60,152
manual_598417,16.5995706,-24.3209787,Sao_Nicolau_tile12.tif,Agricultural,Agricultural Doubtful,35,164
manual_511422,16.5951879,-24.3240862,Sao_Nicolau_tile12.tif,Agricultural,Agricultural Certain,83,130
manual_962381,16.6475468,-24.3963405,Sao_Nicolau_tile4.tif,Agricultural,Agricultural Certain,439,368
manual_405973,16.6482794,-24.3956979,Sao_Nicolau_tile4.tif,Agricultural,Agricultural Certain,431,375
manual_559201,16.6495596,-24.3946905,Sao_Nicolau_tile4.tif,Agricultural,Agricultural Certain,417,386
manual_391755,16.6093276,-24.3541946,Sao_Nicolau_tile8.tif,Agricultural,Agricultural Doubtful,395,311
manual_10054,16.6359861,-24.3467931,Sao_Nicolau_tile8.tif,Agricultural,Agricultural Certain,101,395
manual_379588,16.6235554,-24.3339376,Sao_Nicolau_tile13.tif,Agricultural,Agricultural Doubtful,233,22
manual_799914,16.6365656,-24.3388443,Sao_Nicolau_tile8.tif,Agricultural,Agricultural Certain,96,480
manual_308202,16.6480268,-24.3334245,Sao_Nicolau_tile14.tif,Agricultural,Agricultural Certain,427,24
manual_211522,16.6487744,-24.3262271,Sao_Nicolau_tile14.tif,Agricultural,Agricultural Certain,420,101
manual_877278,16.6508876,-24.3239226,Sao_Nicolau_tile14.tif,Agricultural,Agricultural Certain,397,126
manual_792926,16.6523435,-24.3231986,Sao_Nicolau_tile14.tif,Agricultural,Agricultural Certain,381,134
manual_938490,16.6506739,-24.3203605,Sao_Nicolau_tile14.tif,Agricultural,Agricultural Certain,400,164
manual_808065,16.6500766,-24.3181964,Sao_Nicolau_tile14.tif,Agricultural,Agricultural Certain,407,187
manual_920071,16.6468113,-24.3191702,Sao_Nicolau_tile14.tif,Agricultural,Agricultural Certain,443,176
manual_617387,16.6417347,-24.3148690,Sao_Nicolau_tile13.tif,Agricultural,Agricultural Certain,35,229
manual_621954,16.6443050,-24.3121977,Sao_Nicolau_tile13.tif,Agricultural,Agricultural Certain,7,258
manual_455153,16.6061457,-24.2878560,Sao_Nicolau_tile13.tif,Agricultural,Agricultural Doubtful,434,511
manual_290845,16.6068811,-24.2870259,Sao_Nicolau_tile18.tif,Agricultural,Agricultural Doubtful,417,12
manual_351251,16.5886832,-24.2903672,Sao_Nicolau_tile12.tif,Agricultural,Agricultural Certain,161,489
manual_850597,16.5697213,-24.3528522,Sao_Nicolau_tile7.tif,Agricultural,Agricultural Certain,368,326
manual_864818,16.6653042,-24.3199574,Sao_Nicolau_tile14.tif,Agricultural,Agricultural Doubtful,238,171
manual_388703,16.6331792,-24.2277324,Sao_Nicolau_tile23.tif,Agricultural,Agricultural Doubtful,128,142
manual_159829,16.5951006,-24.3238975,Sao_Nicolau_tile12.tif,Agricultural,Agricultural Certain,84,132
manual_758656,16.6235343,-24.3352480,Sao_Nicolau_tile13.tif,Agricultural,Agricultural Doubtful,233,8
manual_930959,16.6300338,-24.2843304,Sao_Nicolau_tile18.tif,Non-Agricultural,Open Field / Tree,161,45
manual_221036,16.6622659,-24.3627950,Sao_Nicolau_tile9.tif,Non-Agricultural,Open Field / Tree,273,221
manual_728540,16.5707339,-24.2894067,Sao_Nicolau_tile12.tif,Non-Agricultural,Open Field / Tree,360,496
manual_474560,16.5955678,-24.2313165,Sao_Nicolau_tile22.tif,Non-Agricultural,Open Field / Tree,78,105
manual_911884,16.6085436,-24.0966071,Sao_Nicolau_tile38.tif,Non-Agricultural,Open Field / Tree,399,14
manual_523831,16.5568348,-24.0826733,Sao_Nicolau_tile36.tif,Non-Agricultural,Open Field / Tree,42,168
manual_216758,16.6434180,-24.3672412,Sao_Nicolau_tile8.tif,Non-Agricultural,Open Field / Tree,15,178
manual_598371,16.6182505,-24.3382463,Sao_Nicolau_tile8.tif,Non-Agricultural,Open Field / Tree,299,483
manual_686149,16.6564547,-24.3481789,Sao_Nicolau_tile9.tif,Non-Agricultural,Open Field / Tree,340,376
manual_243042,16.6328381,-24.3179932,Sao_Nicolau_tile13.tif,Non-Agricultural,Open Field / Tree,133,194
manual_288371,16.6264615,-24.3940964,Sao_Nicolau_tile3.tif,Non-Agricultural,Open Field / Tree,207,396
manual_890356,16.5843814,-24.3784736,Sao_Nicolau_tile7.tif,Non-Agricultural,Open Field / Tree,201,55
