tile,row,col,lat,lon,source
Sao_Nicolau_tile8.tif,11,226,16.6438519,-24.3627542,Highscore
Sao_Nicolau_tile8.tif,24,242,16.6427031,-24.3612360,Highscore
Sao_Nicolau_tile13.tif,132,154,16.6328684,-24.3217390,Highscore
Sao_Nicolau_tile9.tif,453,211,16.6460071,-24.3634473,Highscore
Sao_Nicolau_tile8.tif,21,239,16.6429693,-24.3615216,Highscore
Sao_Nicolau_tile13.tif,115,164,16.6344176,-24.3208294,Highscore
Sao_Nicolau_tile8.tif,21,238,16.6429677,-24.3616152,Highscore
Sao_Nicolau_tile8.tif,2,213,16.6446444,-24.3639853,Highscore
Sao_Nicolau_tile9.tif,468,205,16.6446444,-24.3639853,Highscore
Sao_Nicolau_tile8.tif,24,243,16.6427046,-24.3611424,Highscore
Sao_Nicolau_tile8.tif,360,426,16.6126597,-24.3434860,Highscore
Sao_Nicolau_tile8.tif,4,237,16.6445003,-24.3617356,Highscore
Sao_Nicolau_tile9.tif,470,229,16.6445003,-24.3617356,Highscore
Sao_Nicolau_tile14.tif,424,163,16.6485065,-24.3204168,Highscore
Sao_Nicolau_tile14.tif,436,154,16.6474100,-24.3212406,Highscore
Sao_Nicolau_tile8.tif,37,233,16.6415163,-24.3620580,Highscore
Sao_Nicolau_tile9.tif,467,205,16.6447346,-24.3639869,Highscore
Sao_Nicolau_tile14.tif,425,158,16.6484087,-24.3208833,Highscore
Sao_Nicolau_tile14.tif,445,170,16.6466218,-24.3197288,Highscore
Sao_Nicolau_tile8.tif,39,234,16.6413373,-24.3619613,Highscore
Sao_Nicolau_tile14.tif,446,170,16.6465315,-24.3197272,Highscore
Sao_Nicolau_tile14.tif,427,172,16.6482492,-24.3195696,Highscore
Sao_Nicolau_tile14.tif,435,158,16.6475063,-24.3208677,Highscore
Sao_Nicolau_tile8.tif,359,427,16.6127515,-24.3433940,Highscore
Sao_Nicolau_tile8.tif,1,213,16.6447346,-24.3639869,Highscore
Sao_Nicolau_tile9.tif,455,204,16.6458160,-24.3640994,Highscore
Sao_Nicolau_tile14.tif,435,160,16.6475093,-24.3206805,Highscore
Sao_Nicolau_tile13.tif,194,23,16.6270765,-24.3339048,Highscore
Sao_Nicolau_tile14.tif,456,134,16.6455751,-24.3230818,Highscore
Sao_Nicolau_tile14.tif,430,179,16.6479890,-24.3189096,Highscore
Sao_Nicolau_tile14.tif,427,173,16.6482507,-24.3194760,Highscore
Sao_Nicolau_tile13.tif,111,163,16.6347771,-24.3209292,Highscore
Sao_Nicolau_tile13.tif,112,160,16.6346823,-24.3212085,Highscore
Sao_Nicolau_tile13.tif,113,157,16.6345876,-24.3214878,Highscore
Sao_Nicolau_tile13.tif,113,160,16.6345921,-24.3212069,Highscore
Sao_Nicolau_tile8.tif,401,279,16.6087377,-24.3571802,Highscore
Sao_Nicolau_tile13.tif,113,158,16.6345891,-24.3213942,Highscore
Sao_Nicolau_tile9.tif,398,237,16.6510099,-24.3611001,Highscore
Sao_Nicolau_tile8.tif,38,234,16.6414276,-24.3619628,Highscore
Sao_Nicolau_tile8.tif,22,242,16.6428836,-24.3612392,Highscore
Sao_Nicolau_tile9.tif,468,229,16.6446808,-24.3617387,Highscore
Sao_Nicolau_tile8.tif,2,237,16.6446808,-24.3617387,Highscore
Sao_Nicolau_tile13.tif,109,164,16.6349591,-24.3208387,Highscore
Sao_Nicolau_tile13.tif,119,159,16.6340491,-24.3212912,Highscore
Sao_Nicolau_tile14.tif,441,119,16.6469062,-24.3245094,Highscore
Sao_Nicolau_tile8.tif,183,175,16.6282529,-24.3672571,Highscore
Sao_Nicolau_tile8.tif,391,284,16.6096477,-24.3567279,Highscore
Sao_Nicolau_tile9.tif,456,221,16.6457516,-24.3625065,Highscore
Sao_Nicolau_tile8.tif,3,217,16.6445602,-24.3636093,Highscore
Sao_Nicolau_tile9.tif,469,209,16.6445602,-24.3636093,Highscore
Sao_Nicolau_tile8.tif,31,193,16.6419970,-24.3658118,Highscore
Sao_Nicolau_tile13.tif,103,178,16.6355215,-24.3195375,Highscore
